,frame,pos_x,pos_y,id
404,135.0,294,356,Burrow 2
405,136.0,376,402,A
406,136.0,946,180,Burrow 1
407,136.0,294,356,Burrow 2
408,137.0,376,402,A
409,137.0,946,180,Burrow 1
410,137.0,294,356,Burrow 2
411,138.0,376,402,A
412,138.0,946,180,Burrow 1
413,138.0,294,356,Burrow 2
414,139.0,376,402,A
415,139.0,946,180,Burrow 1
416,139.0,294,356,Burrow 2
417,140.0,376,402,A
418,140.0,946,180,Burrow 1
419,140.0,294,356,Burrow 2
420,141.0,376,402,A
421,141.0,946,180,Burrow 1
422,141.0,294,356,Burrow 2
423,142.0,376,402,A
424,142.0,946,180,Burrow 1
425,142.0,294,356,Burrow 2
426,143.0,376,402,A
427,143.0,946,180,Burrow 1
428,143.0,294,356,Burrow 2
429,144.0,376,402,A
430,144.0,946,180,Burrow 1
431,144.0,294,356,Burrow 2
432,145.0,376,402,A
433,145.0,946,180,Burrow 1
434,145.0,294,356,Burrow 2
435,146.0,376,402,A
436,146.0,946,180,Burrow 1
437,146.0,294,356,Burrow 2
438,147.0,376,402,A
439,147.0,946,180,Burrow 1
440,147.0,294,356,Burrow 2
441,148.0,376,401,A
442,148.0,946,180,Burrow 1
443,148.0,294,356,Burrow 2
444,149.0,376,402,A
445,149.0,946,180,Burrow 1
446,149.0,294,356,Burrow 2
447,150.0,376,402,A
448,150.0,946,180,Burrow 1
449,150.0,294,356,Burrow 2
450,151.0,376,402,A
451,151.0,946,180,Burrow 1
452,151.0,294,356,Burrow 2
453,152.0,376,402,A
454,152.0,946,180,Burrow 1
455,152.0,294,356,Burrow 2
456,153.0,376,402,A
457,153.0,946,180,Burrow 1
458,153.0,294,356,Burrow 2
459,154.0,376,401,A
460,154.0,946,180,Burrow 1
461,154.0,294,356,Burrow 2
462,155.0,376,401,A
463,155.0,946,180,Burrow 1
464,155.0,294,356,Burrow 2
465,156.0,376,402,A
466,156.0,946,180,Burrow 1
467,156.0,294,356,Burrow 2
468,157.0,376,402,A
469,157.0,946,180,Burrow 1
470,157.0,294,356,Burrow 2
471,158.0,376,402,A
472,158.0,946,180,Burrow 1
473,158.0,294,356,Burrow 2
474,159.0,376,401,A
475,159.0,946,180,Burrow 1
476,159.0,294,356,Burrow 2
477,160.0,376,401,A
478,160.0,946,180,Burrow 1
479,160.0,294,356,Burrow 2
480,161.0,376,401,A
481,161.0,946,180,Burrow 1
482,161.0,294,356,Burrow 2
483,162.0,376,401,A
484,162.0,946,180,Burrow 1
485,162.0,294,356,Burrow 2
486,163.0,377,400,A
487,163.0,946,180,Burrow 1
488,163.0,294,356,Burrow 2
489,164.0,377,398,A
490,164.0,946,180,Burrow 1
491,164.0,294,356,Burrow 2
492,165.0,380,394,A
493,165.0,946,180,Burrow 1
494,165.0,294,356,Burrow 2
495,166.0,383,389,A
496,166.0,946,180,Burrow 1
497,166.0,294,356,Burrow 2
498,167.0,385,384,A
499,167.0,946,180,Burrow 1
500,167.0,294,356,Burrow 2
501,168.0,388,378,A
502,168.0,946,180,Burrow 1
503,168.0,294,356,Burrow 2
504,169.0,391,373,A
505,169.0,946,180,Burrow 1
506,169.0,294,356,Burrow 2
507,170.0,392,371,A
508,170.0,946,180,Burrow 1
509,170.0,294,356,Burrow 2
510,171.0,392,369,A
511,171.0,946,180,Burrow 1
512,171.0,294,356,Burrow 2
513,172.0,393,368,A
514,172.0,946,180,Burrow 1
515,172.0,294,356,Burrow 2
516,173.0,393,368,A
517,173.0,946,180,Burrow 1
518,173.0,294,356,Burrow 2
519,174.0,393,369,A
520,174.0,946,180,Burrow 1
521,174.0,294,356,Burrow 2
522,175.0,393,372,A
523,175.0,946,180,Burrow 1
524,175.0,294,356,Burrow 2
525,176.0,394,375,A
526,176.0,946,180,Burrow 1
527,176.0,294,356,Burrow 2
528,177.0,395,377,A
529,177.0,946,180,Burrow 1
530,177.0,294,356,Burrow 2
531,178.0,396,379,A
532,178.0,946,180,Burrow 1
533,178.0,294,356,Burrow 2
534,179.0,397,383,A
535,179.0,946,180,Burrow 1
536,179.0,294,356,Burrow 2
537,180.0,397,385,A
538,180.0,946,180,Burrow 1
539,180.0,294,356,Burrow 2
540,181.0,396,387,A
541,181.0,946,180,Burrow 1
542,181.0,294,356,Burrow 2
543,182.0,396,388,A
544,182.0,946,180,Burrow 1
545,182.0,294,356,Burrow 2
546,183.0,395,389,A
547,183.0,946,180,Burrow 1
548,183.0,294,356,Burrow 2
549,184.0,394,389,A
550,184.0,946,180,Burrow 1
551,184.0,294,356,Burrow 2
552,185.0,393,390,A
553,185.0,946,180,Burrow 1
554,185.0,294,356,Burrow 2
555,186.0,393,390,A
556,186.0,946,180,Burrow 1
557,186.0,294,356,Burrow 2
558,187.0,393,390,A
559,187.0,946,180,Burrow 1
560,187.0,294,356,Burrow 2
561,188.0,393,391,A
562,188.0,946,180,Burrow 1
563,188.0,294,356,Burrow 2
564,189.0,393,391,A
565,189.0,946,180,Burrow 1
566,189.0,294,356,Burrow 2
567,190.0,393,392,A
568,190.0,946,180,Burrow 1
569,190.0,294,356,Burrow 2
570,191.0,393,393,A
571,191.0,946,180,Burrow 1
572,191.0,294,356,Burrow 2
573,192.0,393,393,A
574,192.0,946,180,Burrow 1
575,192.0,294,356,Burrow 2
576,193.0,393,394,A
577,193.0,946,180,Burrow 1
578,193.0,294,356,Burrow 2
579,194.0,393,395,A
580,194.0,946,180,Burrow 1
581,194.0,294,356,Burrow 2
582,195.0,393,395,A
583,195.0,946,180,Burrow 1
584,195.0,294,356,Burrow 2
585,196.0,392,396,A
586,196.0,946,180,Burrow 1
587,196.0,294,356,Burrow 2
588,197.0,392,397,A
589,197.0,946,180,Burrow 1
590,197.0,294,356,Burrow 2
591,198.0,392,397,A
592,198.0,946,180,Burrow 1
593,198.0,294,356,Burrow 2
594,199.0,392,398,A
595,199.0,946,180,Burrow 1
596,199.0,294,356,Burrow 2
597,200.0,391,398,A
